Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Dataset]	Term Source REF	Term Accession Number	Factor Value[Subject ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number
CM__QC_media_18_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_18_MSMS	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__blank_media_end	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	CM__blank_media_end	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_1	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_2	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__blank_cell_start	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	CM__blank_cell_start	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_3	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_4	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_5	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_6	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_7	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ7	cardiomyocytes			7			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ15	cardiomyocytes			15			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ14	cardiomyocytes			14			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ4	cardiomyocytes			4			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ11	cardiomyocytes			11			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_8	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ18	cardiomyocytes			18			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ13	cardiomyocytes			13			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ3	cardiomyocytes			3			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ1	cardiomyocytes			1			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ6	cardiomyocytes			6			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_9	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ5	cardiomyocytes			5			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ12	cardiomyocytes			12			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ9	cardiomyocytes			9			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ8	cardiomyocytes			8			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ16	cardiomyocytes			16			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_10	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ2	cardiomyocytes			2			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ10	cardiomyocytes			10			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ17	cardiomyocytes			17			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_11	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_12	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_13_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_13_MSMS	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_14_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_14_MSMS	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_cell_15_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_cell_15_MSMS	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__blank_cell_end	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	CM__blank_cell_end	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CT__QC1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC1	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC2	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
