Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Dataset]	Term Source REF	Term Accession Number	Factor Value[Subject ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number
PS__QC20	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC20	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_100	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_100	rat_plasma_sunitinib			55			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_104	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_104	rat_plasma_sunitinib			48			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_77	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_77	rat_plasma_sunitinib			69			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_89	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_89	rat_plasma_sunitinib			61			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_117	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_117	rat_plasma_sunitinib			51			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC21	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC21	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_119	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_119	rat_plasma_sunitinib			53			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_107	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_107	rat_plasma_sunitinib			64			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_109	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_109	rat_plasma_sunitinib			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_71	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_71	rat_plasma_sunitinib			65			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC22	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC22	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_138	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_138	rat_plasma_sunitinib			52			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_103	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_103	rat_plasma_sunitinib			49			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_76	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_76	rat_plasma_sunitinib			62			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC23	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC23	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_84	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_84	rat_plasma_sunitinib			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_97	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_97	rat_plasma_sunitinib			61			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_72	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_72	rat_plasma_sunitinib			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_101	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_101	rat_plasma_sunitinib			53			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC24	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC24	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_90	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_90	rat_plasma_sunitinib			49			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_135	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_135	rat_plasma_sunitinib			54			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_112	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_112	rat_plasma_sunitinib			50			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC25	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC25	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_80	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_80	rat_plasma_sunitinib			69			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_108	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_108	rat_plasma_sunitinib			66			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC26	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC26	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC27	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC27	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__Extract_blank_end	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	PS__Extract_blank_end	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_85_SUN_Serum_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_85_SUN_Serum_1	rat_plasma_sunitinib			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91_SUN_Serum_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91_SUN_Serum_1	rat_plasma_sunitinib			53			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91_SUN_Serum_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91_SUN_Serum_2	rat_plasma_sunitinib			53			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91_SUN_Serum_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91_SUN_Serum_3	rat_plasma_sunitinib			53			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120_SUN_Serum_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120_SUN_Serum_1	rat_plasma_sunitinib			55			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120_SUN_Serum_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120_SUN_Serum_2	rat_plasma_sunitinib			55			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120_SUN_Serum_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120_SUN_Serum_3	rat_plasma_sunitinib			55			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC01	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC01	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC02	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC02	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC03	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC03	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC04	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC04	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__Extract_blank_start	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	PK__Extract_blank_start	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC05	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC05	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC06_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC06_MSMS	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC07_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC07_MSMS	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC08_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC08_MSMS	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC09	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC09	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC10	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC10	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_13	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_13	rat_plasma_KU60648			43			KU60648			2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_21	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_21	rat_plasma_KU60648			30			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_54	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_54	rat_plasma_KU60648			32			KU60648			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC11	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC11	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_26	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_26	rat_plasma_KU60648			42			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_47	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_47	rat_plasma_KU60648			28			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_17	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_17	rat_plasma_KU60648			39			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC12	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC12	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_41	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_41	rat_plasma_KU60648			29			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_27	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_27	rat_plasma_KU60648			26			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__AZ_34	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PK__AZ_34	rat_plasma_KU60648			38			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PK__QC13	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PK__QC13	rat_plasma_KU60648										day	UO	http://purl.obolibrary.org/obo/UO_0000033
