CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
L-(-)-Asparagine,XIC,eTargetCompound,C4H8N2O3,,,ESI,5000,,0,,133.0606537,,+,1,3.658456583,60,60,,
MFCD00209793,XIC,eTargetCompound,C4H9 [15]NO3,,,ESI,5000,,0,,120.065361,,+,1,2.751897706,60,25,,
MFCD00209793,XIC,eTargetCompound,C4H9 [15]NO3,,,ESI,5000,,0,,120.065361,,+,1,2.863224434,60,30,,
MFCD00209793,XIC,eTargetCompound,C4H9 [15]NO3,,,ESI,5000,,0,,120.065361,,+,1,2.693484161,60,20,,
MFCD00209793,XIC,eTargetCompound,C4H9 [15]NO3,,,ESI,5000,,0,,120.0654144,,+,1,2.998813508,60,30,,
MFCD00209793,XIC,eTargetCompound,C4H9 [15]NO3,,,ESI,5000,,0,,120.065361,,+,1,2.697890654,60,45,,
MFCD00209793,XIC,eTargetCompound,C4H9 [15]NO3,,,ESI,5000,,0,,120.065361,,+,1,2.702036848,60,60,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497437,,+,1,3.412534695,60,20,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497437,,+,1,3.413737065,60,30,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,189.1233063,,+,1,3.158872154,60,25,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,189.1233063,,+,1,3.150133329,60,20,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,189.1233063,,+,1,3.154548866,60,30,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,189.1233063,,+,1,3.157004055,60,60,,
