Sample Type,File Name,Comment,Path,Filepath,Method,Process Method,Position,Inj Vol
Unknown,MT_20230807_028,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_028.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:B9,2
Unknown,MT_20230807_029,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_029.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C1,2
Unknown,MT_20230807_030,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_030.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C1,2
Pooled,MT_20230807_031,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_031.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,2
Pooled,MT_20230807_032,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_032.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A4,2
Unknown,MT_20230807_033,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_033.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C2,2
Unknown,MT_20230807_034,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_034.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C2,2
Unknown,MT_20230807_035,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_035.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C3,2
Unknown,MT_20230807_036,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_036.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C3,2
Unknown,MT_20230807_037,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_037.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C4,2
Unknown,MT_20230807_038,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_038.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C4,2
Unknown,MT_20230807_039,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_039.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C5,2
Unknown,MT_20230807_040,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_040.mzML,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:C5,2
