Filepath,Sample Type,File Name
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_29_nonCOVID.raw,Unknown,METAB01_Smpl_29_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_QC1.raw,QC,METAB01_QC1
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_36_nonCOVID.raw,Unknown,METAB01_Smpl_36_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_31_nonCOVID.raw,Unknown,METAB01_Smpl_31_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_28.raw,Unknown,METAB01_Smpl_28
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_40_nonCOVID.raw,Unknown,METAB01_Smpl_40_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_15_nonCOVID.raw,Unknown,METAB01_Smpl_15_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_12_nonCOVID.raw,Unknown,METAB01_Smpl_12_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_30_nonCOVID.raw,Unknown,METAB01_Smpl_30_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_37_nonCOVID.raw,Unknown,METAB01_Smpl_37_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_11.raw,Unknown,METAB01_Smpl_11
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_22_nonCOVID.raw,Unknown,METAB01_Smpl_22_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_13_nonCOVID.raw,Unknown,METAB01_Smpl_13_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_14_nonCOVID.raw,Unknown,METAB01_Smpl_14_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_41_nonCOVID.raw,Unknown,METAB01_Smpl_41_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_07.raw,Unknown,METAB01_Smpl_07
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_13.raw,Unknown,METAB01_Smpl_13
